ID	year	ScientificName
282ce413-b754-4ea6-aefe-679bf28868ca	1995	bactris pliniana
96d88cfe-53aa-4ef4-bb54-31d5f13fa978	1995	bactris pliniana
dd295ece-0071-463e-9734-91f3d7011546	1997	bactris pliniana
d971bdc8-7878-43d4-bc54-3611948a6355	1874	bactris simplicifrons
df7f1f6d-4066-4bd9-9367-7c2269102604	1874	bactris syagroides
ad4b8d38-c198-4999-a595-1459d2ca0e1e	1874	bactris syagroides
3b8f60e1-f640-4e31-aa18-d6ca9d6e93a9	1874	bactris tomentosa
c77b947a-73ee-4874-9277-81ec759244f8	1874	bactris turbinocarpa
82db7c7f-9a70-4a29-836a-1d5edc47bdec	1874	bactris turbinocarpa
b177d371-11a6-4540-ba7c-d43a5e0a5082	1874	bactris turbinocarpa
b895800b-0384-4b36-8364-0c99bb605b2f	1969	barringtonia calyptrocalyx
9290f4bf-a28c-4f82-9bc9-ce2241faf8ef	1851	bauhinia microstachya
cb1b53c4-1717-4703-b3b5-b3a97e6ac008	1969	bauhinia williamsii
6d4416d2-4c80-4162-845f-e4d4c362c958	1969	bauhinia williamsii
636da36a-461c-4d4f-80e0-007c939db82b	1969	bauhinia williamsii
ce71f337-ae5d-4ac2-8ea5-41103ed84388	1969	bauhinia williamsii
14e93b56-9dd3-47ab-b74f-40b58317c5cf	1969	bauhinia williamsii
44b15cd1-5b93-479f-b978-63f2d5d567ed	1969	bauhinia williamsii
330ef13d-1e8f-45c1-80df-d24114917928	2010	begonia bracteata
710eebf0-3ab1-4fdc-a0ab-40797832a563	2010	bejaria
0b71b0fc-3bbe-4043-bef0-325ca6d552df	1978	bellucia arborescens
065df17a-4f0d-4c47-94ed-6ea97471b711	1969	bellucia pentamera
6ad488e0-fc32-43ec-8bb1-298db7ff43f2	1969	bellucia pentamera
91f8b24f-0538-456e-ab9a-13cd985e3b5c	1961	bignonia aequinoctialis
c3247aa0-ccce-4763-a12e-3da3eb7c5341	1961	bignonia aequinoctialis
be670675-3711-4c78-8da8-1e36b386c18a	1961	bignonia aequinoctialis
69276208-b319-47cc-9143-4df64f671132	1961	bignonia aequinoctialis
75ab0a67-5823-4957-bcae-58af29fea802	1961	bignonia aequinoctialis
616e6c01-31fd-43be-9212-a62baf5881ce	1981	billbergia tessmannii
7f8394c8-2bab-48dc-8921-53a091c5d598	1988	blakea henripittieri
774cd8af-bbe7-401d-b05e-7d6018034daf	2002	blakea hirsuta
